Bus No.,Source,Destination
261,Sarai Kale Khan ISBT,Nand Nagri Terminal
261Cluster,Sarai Kale Khan ISBT,Nand Nagri Terminal
261LnkSTLCluster,Sarai Kale Khan ISBT,Rajghat Cluster Depot
262,Kalyan Vihar,Harsh Vihar
262Cluster,Kalyan Vihar,Harsh Vihar
262LinkSTLCluster,Kalyan Vihar,BBM II Depot
263,Mori Gate Terminal,Indira Puri Loni Border
266,Shivaji Stadium,Jagat Pur Temple
270,Kendriya Terminal,Karawal Nagar Pusta
271,Kendriya Terminal,Jagat Pur Temple
273,Shivaji Stadium,Indira Puri Loni Border
274,Babarpur Extn.,Okhla Extn. / Abul Fazal Enclave
280,Kendriya Terminal,Nand Nagri Terminal
281,Kendriya Terminal,Dilshad Garden
301,B.M.D. Chowk,Mayur Vihar Ph-III
302,Mori Gate Terminal,Jheel
306,Nehru Place Terminal,Kalyan Puri
307,Kamla Market,Trilok Puri 31/27-Block
307A,New Delhi Railway Station Gate 2,Mayur Vihar Ph-II
309,Anand Parbat,Kalyan Puri
309EXTCluster,Anand Parbat,Rajghat Cluster Depot
310,I.T.O. (Ring Road),Jheel
313,Vivek Vihar,Inder Puri
317,Shivaji Stadium,Shahadra Terminal
319,Shahadra Terminal,Noida Sector 32
320,Kendriya Terminal,Shahadra Terminal
326,Vasant Kunj Sector A,Krishna Nagar
327,Punjabi Bagh Terminal,Mayur Vihar Extn.
331,Shivaji Stadium,Nand Nagri Extn.
333,Jahangir Puri E-Block,Anand Vihar ISBT (Viveka Nand ISBT)
335,Hauz Khas Terminal,Nand Nagri Terminal
350,Anand Parbat,Nand Nagri Terminal
351,Anand Parbat,Gazi Pur Dairy Farm
352,Wazirpur JJ Colony,Krishna Nagar
355,Anand Parbat,Noida Sector 32 Terminal
355A,New Delhi Railway Station Gate 2,Noida Sector 47
355B,New Delhi Railway Station Gate 1,Noida Sector 62 (Electronic City)
358,Karol Bagh Terminal,New Seemapuri
362,Mori Gate Terminal,Vasundhara Enclave
374,Nehru Place Terminal,Nand Nagri Terminal
375,Nand Nagri Terminal,Dilshad Garden
378,Kendriya Terminal,Mayur Vihar Ph-III
384,Arya Samaj Road / Gurudwara Road,Trilok Puri 31/27-Block
390,Kendriya Terminal,Mayur Vihar Ph-I
391,Kendriya Terminal,Kalyan Puri
392,Maya Puri Chowk,Noida Sector 62 (Electronic City)
392B,IGI Airport TerminalII,Jaipuria Mall (Indira Puram U.P.)
398EXP,Dhaula Kuan,Mayur Vihar Ph-III
400,Minto Road Terminal,Okhla Extn. / Abul Fazal Enclave
402,Azadpur Terminal,Okhla Extn. / Abul Fazal Enclave
400Cluster,Minto Road Terminal,Okhla Extn. / Abul Fazal Enclave
402CLCluster,Azadpur Terminal,Okhla Extn. / Abul Fazal Enclave
403,Old Delhi Railway Station,Okhla Extn. / Abul Fazal Enclave
403CLCluster,Old Delhi Railway Station,Okhla Extn. / Abul Fazal Enclave
403STLCluster,Kushak Nallah Depot,Okhla Extn. / Abul Fazal Enclave
404,Old Delhi Railway Station,Madan Pur Khadar
404Cluster,Old Delhi Railway Station,Sarita Vihar D Block / Madanpur Khadar Village
404 Extn.,Old Delhi Railway Station,Madan Pur Khadar JJ Colony
404LinkSTLCluster,Kushak Nallah Depot,Madan Pur Khadar
405,Mori Gate Terminal,Badarpur Border
405Cluster,Mori Gate Terminal,Badarpur Border
405A,Old Delhi Railway Station,Badarpur Border
405ACluster,Old Delhi Railway Station,Badarpur Border
405ASTLCluster,Kushak Nallah Depot,Badarpur Border
405STLCluster,ISBT / Kashmiri Gate,J.L.N. Stadium (Sunhari Pullah Nallah Parking)
408,Raghubir Nagar F-Block,Nizamuddin Railway Station
408CLCluster,Raghubir Nagar F-Block,Nizamuddin Railway Station
408EXTCLCluster,Raghubir Nagar F-Block,Kendriya Terminal Church Road
408STLCluster,J.L.N. Stadium (Sunhari Pullah Nallah Parking),Nizamuddin Railway Station
409,Old Delhi Railway Station,Molar Bandh School
410,Khyala JJ Colony,Jal Vihar Terminal
410ACLCluster,Khayala More/ Subhash Nagar Crossing,Police Station Nizamuddin
410CLCluster,Subhash Nagar X-ing,Jal Vihar Terminal
410StlCluster,J.L.N. Stadium (Sunhari Pullah Nallah Parking),Jal Vihar Terminal
411,Mori Gate Terminal,Ambedkar Nagar Terminal
411LnkSTLCluster,Nizamuddin Railway Station,Okhla Depot IV CWS II
413,Police Station Nizamuddin,Mehrauli Terminal
414,Police Station Nizamuddin,Badarpur Border
415,Jal Vihar Terminal,Jaitpur Village
416,Jal Vihar Terminal,Ambedkar Nagar Terminal
418ACluster,Shahadra Terminal,Badarpur Border
418ALnkSTLCluster,Kushak Nallah Depot,Badarpur Border
418EXTCluster,Shahadra Terminal,Kushak Nallah Depot
419,Old Delhi Railway Station,Ambedkar Nagar Terminal
422,ISBT / Kashmiri Gate,Badarpur Border
423,Mori Gate Terminal,Ambedkar Nagar Terminal
423A,Mori Gate Terminal,Devli Village
425,Old Delhi Railway Station,Hamdard Nagar
425CLCluster,Old Delhi Railway Station,Hamdard Nagar
425STLCluster,Kushak Nallah Depot,Hamdard Nagar
427,Nizamuddin Railway Station,Mehrauli Terminal
429,Old Delhi Railway Station,Kalka Ji DDA Flats
429CLCluster,Old Delhi Railway Station,DDA Flats Kalkaji
429LSTLCluster,Kushak Nallah Depot,Old Delhi Railway Station
429STLCluster,Kushak Nallah Depot,Kalka Ji DDA Flats
429STL2Cluster,Old Delhi Railway Station,Kushak Nallah Depot
430,Kendriya Terminal,Badarpur Border
433,New Delhi Railway Station Gate 2,Badarpur Border
433CLCluster,New Delhi Railway Station Gate 2,Badarpur Border
433LnkSTLCluster,New Delhi Railway Station Gate 2,Okhla Depot IV CWS II
433STLCluster,Kushak Nallah Depot,Badarpur Border
435,New Delhi Railway Station Gate 2,Tara Apartment
436,Old Delhi Railway Station,Jal Vihar Terminal
438,Old Delhi Railway Station,Jaitpur Village
439,Mori Gate Terminal,Badarpur Border
440,New Delhi Railway Station Gate 2,Ambedkar Nagar Terminal
440A,New Delhi Railway Station Gate 2,Badarpur Border
442,Azadpur Terminal,Nehru Place Terminal
443,Shahadra Terminal,Badarpur Border
445,New Delhi Railway Station Gate 2,Kalka Ji DDA Flats
445ACluster,New Delhi Railway Station Gate 2,Hamdard Nagar
445STLCluster,Kushak Nallah Depot,Hamdard Nagar
447,Bhalswa JJ Colony,Ambedkar Nagar Sector 5
448,Punjabi Bagh Terminal,Hamdard Nagar
448A,West Enclave,Hamdard Nagar
448CLCluster,Punjabi Bagh Terminal,Sangam Vihar
448EXTCluster,Punjabi Bagh Terminal,Kushak Nallah Depot
448STLCluster,Kushak Nallah Depot,Sangam Vihar
449,Old Delhi Railway Station,Ambedkar Nagar Depot
449CLCluster,Old Delhi Railway Station,C R Park Market II
450,Anand Parbat,Jal Vihar Terminal
450LnkSTLCluster,Shivaji Stadium,J.L.N. Stadium (Sunhari Pullah Nallah Parking)
451,Jantar Mantar,Jaitpur Village
453,New Delhi Railway Station Gate 2,Jait Pur Extn. (Ishlam Pur)
454,New Delhi Railway Station Gate 2,Jait Pur Extn. Part-II
455,Mori Gate Terminal,Jaitpur Village
457,New Delhi Railway Station Gate 2,Molar Bandh School
457STLCluster,Kamla Market,J.L.N. Stadium (Sunhari Pullah Nallah Parking)
458,New Delhi Railway Station Gate 2,Madan Pur Khadar JJ Colony
460,Minto Road Terminal,Badarpur Border
460CLCluster,Minto Road Terminal,Badarpur Border
460STLCluster,Minto Road Terminal,Kushak Nallah Depot
463,Okhla Enclave,Mehrauli Terminal
465,Safdarjung Terminal,Madan Pur Khadar JJ Colony
465 Extn.,Safdarjung Terminal,Sarita Vihar
467,New Delhi Railway Station Gate 2,Gautam Puri
469,Anand Vihar ISBT (Viveka Nand ISBT),Ambedkar Nagar Terminal
473,Anand Vihar ISBT (Viveka Nand ISBT),Badarpur Border
473 Extn.,Anand Vihar ISBT (Viveka Nand ISBT),Mitha Pur
473A,Anand Vihar ISBT (Viveka Nand ISBT),Hamdard Nagar
473CLCluster,Anand Vihar ISBT (Viveka Nand ISBT),Badarpur Border
474,Safdarjung Terminal,Mitha Pur Extn. (Sindhu Farm)
479,Punjabi Bagh Terminal,Badarpur Border
479ACLCluster,Dhaula Kuan,Badarpur Border
479CLCluster,Punjabi Bagh Terminal,Badarpur Border
479STLCluster,Kushak Nallah Depot,Badarpur Border
480,Kendriya Terminal,Kalka Ji DDA Flats
480Cluster,Kendriya Terminal,DDA Flats Kalkaji
490,Rajendra Nagar R-Block,Kalka Ji DDA Flats
491,Nehru Place Terminal,Noida Phase 2
492,Nehru Place Terminal,Noida Sector 62 (Electronic City)
493,Mehrauli Terminal,Mayur Vihar Ph-III
500,New Delhi Railway Station Gate 2,Saket
501,Nehru Place Terminal,Saket J-Block
502,Old Delhi Railway Station,Mehrauli Terminal
503,Mori Gate Terminal,Malviya Nagar F-Block
505,Kamla Market,Mehrauli Terminal
506,Safdarjung Terminal,Jheer Khore Temple
507,Dhaula Kuan,Okhla Extn. / Abul Fazal Enclave
507 Extn.,Poorvanchal Hostel,Okhla
507CLCluster,ARSD College / Dhaula Kuan,Okhla Extn. / Abul Fazal Enclave
507STLCluster,Kushak Nallah Depot,Okhla Extn. / Abul Fazal Enclave
508,Bhatti Mines,Raghubir Nagar F-Block
509,Safdarjung Terminal,Maidan Garhi
511,Badarpur Border,Dhaula Kuan
511 Extn.,Badarpur Border,Malviya Nagar F-Block
511A,Badarpur Border,Dhaula Kuan
511ASTLCluster,Badarpur Border,Okhla Depot IV CWS II
512,R.K. Puram Sector 1,Ambedkar Nagar Sector 4 (Virat Cinema)
514,Sarojini Nagar Depot,Kalka Ji DDA Flats
516,Safdarjung Terminal,Dera Village
517,Safdarjung Terminal,Aya Nagar
518,Nizamuddin Railway Station,Uttam Nagar Terminal
519,Safdarjung Terminal,Jagat Pur Temple
520,Super Bazar,Malviya Nagar F-Block
521,Karampura Terminal,Ambedkar Nagar Sector 4 (Virat Cinema)
522,Ambedkar Nagar Terminal,Inder Puri (Krishi Kunj)
522A,Inder Puri,Hamdard Nagar
522CLCluster,Ambedkar Nagar Terminal,Inder Puri (Krishi Kunj)
522SPL,New Delhi Railway Station Gate 2,Hamdard Nagar
522STLCluster,Ambedkar Nagar Terminal,Kushak Nallah Depot
523,Dhaula Kuan,Bhatti Mines
525,Badarpur Border,Aya Nagar
529,Nehru Place Terminal,Nangloi Syed
529 Extn.,Nehru Place Terminal,Raghubir Nagar N-Block
533,Mori Gate Terminal,Mehrauli Terminal
534,Anand Vihar ISBT (Viveka Nand ISBT),Mehrauli Terminal
534Cluster,Anand Vihar ISBT (Viveka Nand ISBT),Mehrauli Terminal
534A,Anand Vihar ISBT (Viveka Nand ISBT),IGI Airport TerminalII
536,R.K. Puram Sector 1,Chhatarpur Extn.
539,Mehrauli Terminal,Nangloi
540,Kendriya Terminal,Tara Apartment
540ACLCluster,Safdarjung Terminal,Tara Apartment
540CLCluster,Kendriya Terminal,Tara Apartment
540STLCluster,Okhla Depot IV CWS II,Tara Apartment
542,New Seemapuri,Hauz Khas Terminal
543,Anand Vihar ISBT (Viveka Nand ISBT),Safdarjung Terminal
543 Extn.,Anand Vihar ISBT (Viveka Nand ISBT),Greater Kailash Part-II M-Block Market
543A,Anand Vihar ISBT (Viveka Nand ISBT),Kapashera Border
543ACluster,Anand Vihar ISBT (Viveka Nand ISBT),Kapashera Border
543B,Anand Vihar ISBT (Viveka Nand ISBT),IGI Airport TerminalIII
543STLCluster,Anand Vihar ISBT (Viveka Nand ISBT),Kushak Nallah Depot
544,R.K. Puram Sector 1,Badarpur Border
544A,R.K. Puram Sector 1,Nehru Place Terminal
545,Bhatti Mines,Uttam Nagar Terminal
548,Minto Road Terminal,Tughlakabad Village
548CLCluster,Minto Road Terminal,Sangam Vihar
548ExtCluster,Minto Road Terminal,Okhla Depot IV CWS II
558,Bhatti Mines,Karampura Terminal
567,Sarai Kale Khan ISBT,Kamruddin Nagar
567A,Nehru Place Terminal,Mundka Village
568,Safdarjung Terminal,Mangol Puri Q-Block
568A,Nehru Place Terminal,Mangol Puri Q-Block
569,Safdarjung Terminal,Sultan Puri D-Block
569 Extn.,Safdarjung Terminal,Inder Enclave
569A,Safdarjung Terminal,Prem Nagar Mishra Chowk
569B,Safdarjung Terminal,Inder Enclave
569C,Safdarjung Terminal,Inder Enclave
578,Safdarjung Terminal,Najafgarh
578STLCluster,Kapashera Border,Kair Depot
580,Kendriya Terminal,Ambedkar Nagar Sector 5
581,Kendriya Terminal,Hamdard Nagar
588,J.L.N. Stadium (C.G.O. Complex),Uttam Nagar Terminal
588Cluster,J.L.N. Stadium (Sunhari Pullah Nallah Parking),C.G.O. Complex
590,Shivaji Stadium,Chhatarpur Pahari (Syndicate Bank)
601,R.K. Puram Sector 1,Rohini Sector 16
602,B.M.D. Chowk,Vasant Kunj C-9
604,New Delhi Railway Station Gate 2,Chhatarpur Metro Station
