Name of Institutes ,City,URL 
Asian Chemical Works (Bombay) Pvt. Ltd. ,Mumbai ,www.asianchemicals.com 
Asian Electronics Ltd. ,Mumbai ,www.aelgroup.com 
Asian PPG Industries Ltd. ,Mumbai ,www.asianppg.com 
Associated Cement Companies Ltd. ,Mumbai ,www.accLtd..com 
Associated Powercon Equipment (India) Pvt. Ltd ,Mumbai ,
Associated Stone Industries (Kotah) Ltd ,Mumbai ,www.asistone.com 
Auchtel Products Ltd. ,Mumbai ,www.auchtel.com 
Autoline Industries Ltd. ,Mumbai ,www.autolineind.com 
Automatic Electric Ltd. ,Mumbai ,www.aelindia.com 
Avon Corporation Ltd ,Mumbai ,www.avon.co.in 
B D H Industries Ltd. ,Mumbai ,www.bdhind.com 
Baan Info Systems India Ltd. ,Mumbai ,
Bajaj Consumer Care Ltd ,Mumbai ,www.bajajelectricals.com 
Bajaj Corp Ltd ,Mumbai ,www.bajajcorp.com 
Bajaj Hindusthan Ltd ,Mumbai ,www.bajajhindusthan.com 
Bajaj Ventures Ltd. ,Mumbai ,
Balsara Home Products Ltd ,Mumbai ,
Balsara Hygiene Products Ltd. ,Mumbai ,www.balsara.com 
Batliboi Ltd. ,Mumbai ,www.batliboi.com 
Battelle Science and Technology India Pvt. Ltd.. ,Mumbai ,www.battelle-india.com 
BEL Optronic Devices Ltd. ,Mumbai ,
Bhambhani Shipping Ltd ,Mumbai ,www.bhambhanishipping. 
Bhansali Engineering Polymers Ltd. ,Mumbai ,www.bhansaliabs.com 
Big Synergy Media Ltd ,Mumbai ,www.bigsynergy.tv 
Binayak Tex Processors Ltd ,Mumbai ,www.binayaktex.com 
Biomix Network Ltd. ,Mumbai ,
Biostadt MH Seeds Ltd. ,Mumbai ,
Biotor Industries Ltd ,Mumbai ,
Bio-Ved Pharmaceuticals Pvt.Ltd. ,Mumbai ,www.bioved.com 
Birla Cotsyn (India) Ltd. ,Mumbai ,www.birlacotsyn.com 
Birla Sun Life Distribution Co. Ltd. ,Mumbai ,www.valuemoney.com 
Black Rose Inds. Ltd ,Mumbai ,www.blackrosechemicals.com 
Blue Chip Laboratories Ltd ,Mumbai ,
Boehringer Mannheim India Ltd ,Mumbai ,
Bombay Burmah Trdg. Corpn. Ltd. ,Mumbai ,www.bbtcl.com 
Bombay Chemical & Rubber Products ,Mumbai ,www.bomchem.com 
Bombay Drugs & Pharmas Ltd ,Mumbai ,
Bombay Dyeing & Manufacturing Co. Ltd. ,Mumbai ,www.bombaydyeing.com 
Bombay Mineral Supply Company ,Mumbai ,www.bombaymineral.com 
Bombay Paints Ltd ,Mumbai ,
Borax Morarji Ltd. ,Mumbai ,www.boraxmorarji.com 
Burroughs Wellcome (India) Ltd. ,Mumbai ,
Business India Publications Ltd ,Mumbai ,www.businessindiagroup.com 
C M S Computers Ltd. ,Mumbai ,www.cms.com 
Cable Corporation of India ,Mumbai ,www.cablecorporation.com 
Cabot India Ltd ,Mumbai ,www.cabot-corp.com 
Cadbury India Ltd. ,Mumbai ,www.cadburyindia.com 
Calyx Chemicals & Pharmaceuticals Pvt. Ltd. ,Mumbai ,www.calyxindia.com 
Canpex Chemicals Pvt. Ltd. ,Mumbai ,www.conpex.co.in 
Capital Foods Pvt Ltd ,Mumbai ,www.capitalfoods.co.in 
Case New Holland Construction Equipment,Mumbai ,
(India) Pvt Ltd ,Mumbai ,
Castrol India Ltd. ,Mumbai ,www.castrol.com 
Ceekay Daikin Ltd. ,Mumbai ,www.ceekay-daikin.com 
Centaur Chemicals Pvt. Ltd. ,Mumbai ,www.centaurchem.com 
Century Enka Ltd ,Mumbai ,www.centuryenka.co.in 
Century Textiles & Industries Ltd ,Mumbai ,www.centurytextind.com 
CG Lucy Switchgear Ltd. ,Mumbai ,
Chemiequip Pvt Ltd ,Mumbai ,www.komalgroup.com 
Chemito Technologies Pvt. Ltd. ,Mumbai ,
Chemolutions Chemicals Ltd ,Mumbai ,
Chemtrols Industries Ltd ,Mumbai ,www.chemtrols.com 
Chemtura Chemicals India Pvt. Ltd ,Mumbai ,
Chicago Pneumatic India Ltd ,Mumbai ,www.cp.com 
Choksey Chemicals Pvt. Ltd. ,Mumbai ,www.chokseychem.com 
Cinevista Ltd. ,Mumbai ,www.cinevistaas.com 
Claridge Moulded Fibre Ltd ,Mumbai ,www.claridgemfl.com 
Classic Auto Tubes Ltd ,Mumbai ,www.catl.co.in 
Clear Mipak Packaging Solutions Ltd ,Mumbai ,
Clinical Aesthetics and Investigative,Mumbai ,
Aanagement Service Pvt. Ltd. ,Mumbai ,
Colgate-Palmolive (India) Ltd ,Mumbai ,www.colgate.co.in 
Conex Avio Auto (Pvt.) Ltd. ,Mumbai ,
Construction & Scientific Research Lab,Mumbai ,
(Pune) Pvt. Ltd. ,Mumbai ,
Croslands Research Laboratories Ltd. ,Mumbai ,
Cupid Ltd. ,Mumbai ,www.cupidLtd.com 
Cyanamid Agro Ltd ,Mumbai ,
D K Pharma Chem Pvt. Ltd. ,Mumbai ,
Datar Switchgear Ltd ,Mumbai ,www.seekandsource.com 
DDB Mudra Pvt Ltd ,Mumbai ,www.ddbmudragroup.com 
Delta Magnets Ltd. ,Mumbai ,www.deltamagnets.com 
Dental Products of India Ltd ,Mumbai ,www.dpi.co.in 
Deva Drill Tech (India) Ltd ,Mumbai ,
DGP Hinoday Industries Ltd. ,Mumbai ,www.hinoday.com 
Dharamsi Morarji Chemical Company Ltd ,Mumbai ,www.dmcc.com 
Dinshaws Dairy Foods Ltd. ,Mumbai ,
D-Link (India) Ltd. ,Mumbai ,www.dlink.co.in 
Dolphin Electromagnetic Technologies Pvt. Ltd. ,Mumbai ,www.dolphinemt.com 
Dr. Datsons Labs Ltd ,Mumbai ,www.drdatsons.com 
Duncan Engineering Ltd ,Mumbai ,
Eastern Sugar & Inds. Ltd ,Mumbai ,
Elcom International Pvt. Ltd ,Mumbai ,
Electronica Machine Tools Ltd. ,Mumbai ,www.electronicaemt.com 
Elgle Burgmann India Pvt. Ltd. ,Mumbai ,www.eagleburgmann.com 
Elixir Equities Pvt. Ltd ,Mumbai ,www.elixirequities.com 
Emerson Electric Co. ,Mumbai ,www.emerson.co.in 
Endurance Systems (India) Pvt. Ltd. ,Mumbai ,
Enki Life Science Ltd ,Mumbai ,www.gfeno.com 
Entremonde Polyecoaters Ltd ,Mumbai ,www.entremonde.com 
Enzal Chemicals (India) Ltd ,Mumbai ,www.enzal.com 
Eskay Dyestuffs & Organic Chemicals Pvt. Ltd ,Mumbai ,www.eskayindia.in 
Ess Dee Aluminium Ltd. ,Mumbai ,www.duttagroup.in 
Ethnor Ltd ,Mumbai ,
Euro Ceramics Ltd. ,Mumbai ,www.eurovitrified.com 
Evialis India Ltd ,Mumbai ,www.wisium.com 
EXEDY India Ltd ,Mumbai ,www.exedyindia.in 
F D C Ltd. ,Mumbai ,www.fdcindia.com 
F. M. Hammerle Textiles Ltd. ,Mumbai ,www.fmhammerle.com 
Famy Care Ltd. ,Mumbai ,www.famycare.com 
Fem Care Pharma Ltd. ,Mumbai ,www.femcareworld.com 
Fiat India Pvt. Ltd. ,Mumbai ,www.fiat-india.com 
Ficom Organics Ltd. ,Mumbai ,www.ficomorganics.com 
Financial Technologies (India) Ltd. ,Mumbai ,www.ftindia.com 
Firth(India) Steel Company Ltd. ,Mumbai ,
Flat Products Equipments (India) Ltd ,Mumbai ,www.flatproducts.com 
Flower Valley Agrotech Pvt. Ltd. ,Mumbai ,
Forbes & Company Ltd (Formerly Forbes,Mumbai ,www.forbes.com 
