service_id,route_id,trip_id,direction_id,trip_headsign,block_id
SA,GREEN,SA_95863,0,JBS Parade Ground,SA_20401
SA,GREEN,SA_95864,1,Mahatma Gandhi Bus Station,SA_20401
SA,GREEN,SA_95865,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_95866,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_95867,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_95868,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_95869,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_95870,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_95871,0,JBS Parade Ground,SA_20401
SA,GREEN,SA_95872,1,Mahatma Gandhi Bus Station,SA_20401
SA,GREEN,SA_95873,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_95874,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_95875,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_95876,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_95877,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_95878,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_95879,0,JBS Parade Ground,SA_20401
SA,GREEN,SA_95880,1,Mahatma Gandhi Bus Station,SA_20401
SA,GREEN,SA_95881,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_95882,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_95883,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_95884,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_95885,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_95886,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_95887,0,JBS Parade Ground,SA_20401
SA,GREEN,SA_95888,1,Mahatma Gandhi Bus Station,SA_20401
SA,GREEN,SA_95889,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_95890,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_95891,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_95892,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_95893,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_95894,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_95895,0,JBS Parade Ground,SA_20401
SA,GREEN,SA_95896,1,Mahatma Gandhi Bus Station,SA_20401
SA,GREEN,SA_95897,0,JBS Parade Ground,SA_20201
SA,GREEN,SA_95898,1,Mahatma Gandhi Bus Station,SA_20201
SA,GREEN,SA_95899,0,JBS Parade Ground,SA_20301
SA,GREEN,SA_95900,1,Mahatma Gandhi Bus Station,SA_20301
SA,GREEN,SA_95901,0,JBS Parade Ground,SA_20101
SA,GREEN,SA_95902,1,Mahatma Gandhi Bus Station,SA_20101
SA,GREEN,SA_95903,0,JBS Parade Ground,SA_20401
SA,GREEN,SA_95904,1,Mahatma Gandhi Bus Station,SA_20401
